date,tests,normal_beds,ICU_beds,state
2020-06-09,24081,0,0,Vorarlberg
2020-06-09,56170,1,1,Steiermark
2020-06-09,77437,1,2,Tirol
2020-06-09,68184,5,1,Oberösterreich
2020-06-09,14403,0,0,Burgenland
2020-06-09,34657,0,0,Salzburg
2020-06-09,82507,10,5,Niederösterreich
2020-06-09,19818,0,0,Kärnten
2020-06-10,506344,63,17,Alle
2020-06-10,125689,49,9,Wien
2020-06-10,24189,0,0,Vorarlberg
2020-06-10,56717,1,1,Steiermark
2020-06-10,77920,1,1,Tirol
2020-06-10,68713,4,1,Oberösterreich
2020-06-10,84197,8,4,Niederösterreich
2020-06-10,20221,0,0,Kärnten
2020-06-10,14538,0,0,Burgenland
2020-06-10,34160,0,1,Salzburg
2020-06-11,510311,67,14,Alle
2020-06-11,125689,49,9,Wien
2020-06-11,24506,0,0,Vorarlberg
2020-06-11,78316,1,1,Tirol
2020-06-11,57184,1,1,Steiermark
2020-06-11,34481,1,0,Salzburg
2020-06-11,85688,11,2,Niederösterreich
2020-06-11,14564,0,0,Burgenland
2020-06-11,69374,4,1,Oberösterreich
2020-06-11,20509,0,0,Kärnten
2020-06-12,14574,0,0,Burgenland
2020-06-12,20774,0,0,Kärnten
2020-06-12,86793,12,0,Niederösterreich
2020-06-12,69690,4,1,Oberösterreich
2020-06-12,57505,2,1,Steiermark
2020-06-12,78563,1,1,Tirol
2020-06-12,24983,0,0,Vorarlberg
2020-06-12,129139,40,6,Wien
2020-06-12,516581,60,9,Alle
2020-06-12,34560,1,0,Salzburg
2020-06-13,520976,62,10,Alle
2020-06-13,78881,1,1,Tirol
2020-06-13,130311,44,6,Wien
2020-06-13,25263,0,0,Vorarlberg
2020-06-13,57817,0,0,Steiermark
2020-06-13,70099,4,1,Oberösterreich
2020-06-13,88187,12,2,Niederösterreich
2020-06-13,21035,0,0,Kärnten
2020-06-13,14640,0,0,Burgenland
2020-06-13,34743,1,0,Salzburg
2020-06-14,524840,57,12,Alle
2020-06-14,131352,43,7,Wien
2020-06-14,25504,0,0,Vorarlberg
2020-06-14,79515,1,1,Tirol
2020-06-14,57989,0,1,Steiermark
2020-06-14,34818,1,0,Salzburg
2020-06-14,89200,8,2,Niederösterreich
2020-06-14,21279,0,0,Kärnten
2020-06-14,14896,0,0,Burgenland
2020-06-14,70287,4,1,Oberösterreich
2020-06-15,79665,1,1,Tirol
2020-06-15,527670,64,15,Alle
2020-06-15,132202,45,8,Wien
2020-06-15,25504,0,0,Vorarlberg
2020-06-15,58116,0,2,Steiermark
2020-06-15,34884,1,0,Salzburg
2020-06-15,70615,8,2,Oberösterreich
2020-06-15,90321,9,2,Niederösterreich
2020-06-15,21395,0,0,Kärnten
2020-06-15,14968,0,0,Burgenland
2020-06-16,133897,47,6,Wien
2020-06-16,25704,0,0,Vorarlberg
2020-06-16,79914,1,2,Tirol
2020-06-16,58507,1,2,Steiermark
2020-06-16,532700,66,12,Alle
2020-06-16,71051,8,1,Oberösterreich
2020-06-16,91352,8,1,Niederösterreich
2020-06-16,21973,0,0,Kärnten
2020-06-16,15331,0,0,Burgenland
2020-06-16,34971,1,0,Salzburg
2020-06-17,540615,60,11,Alle
2020-06-17,137799,44,5,Wien
2020-06-17,25903,0,0,Vorarlberg
2020-06-17,80367,1,1,Tirol
2020-06-17,59126,1,3,Steiermark
2020-06-17,35253,1,0,Salzburg
2020-06-17,92627,6,1,Niederösterreich
2020-06-17,22357,0,0,Kärnten
2020-06-17,15512,0,0,Burgenland
2020-06-17,71671,7,1,Oberösterreich
2020-06-18,80682,1,1,Tirol
2020-06-18,139490,45,5,Wien
2020-06-18,26173,0,0,Vorarlberg
2020-06-18,59714,3,1,Steiermark
2020-06-18,545927,64,8,Alle
2020-06-18,72333,7,0,Oberösterreich
2020-06-18,15565,0,0,Burgenland
2020-06-18,35408,0,0,Salzburg
2020-06-18,93840,8,1,Niederösterreich
2020-06-18,22722,0,0,Kärnten
2020-06-19,552130,68,7,Alle
2020-06-19,142519,46,5,Wien
2020-06-19,26173,0,0,Vorarlberg
2020-06-19,60149,4,1,Steiermark
2020-06-19,81105,1,0,Tirol
2020-06-19,72865,7,0,Oberösterreich
2020-06-19,94919,10,1,Niederösterreich
2020-06-19,23094,0,0,Kärnten
2020-06-19,15668,0,0,Burgenland
2020-06-19,35638,0,0,Salzburg
2020-06-20,558208,66,8,Alle
2020-06-20,145016,39,5,Wien
2020-06-20,26709,0,0,Vorarlberg
2020-06-20,81625,1,0,Tirol
2020-06-20,60467,4,1,Steiermark
2020-06-20,35796,2,0,Salzburg
2020-06-20,96193,10,2,Niederösterreich
2020-06-20,23379,1,0,Kärnten
2020-06-20,15742,2,0,Burgenland
2020-06-20,73281,7,0,Oberösterreich
2020-06-21,560584,61,8,Alle
2020-06-21,145983,34,5,Wien
2020-06-21,26899,0,0,Vorarlberg
2020-06-21,81827,2,0,Tirol
2020-06-21,60808,4,1,Steiermark
2020-06-21,36000,3,0,Salzburg
2020-06-21,97526,8,2,Niederösterreich
2020-06-21,22596,1,0,Kärnten
2020-06-21,15378,2,0,Burgenland
2020-06-21,73567,7,0,Oberösterreich
2020-06-22,82000,2,0,Tirol
2020-06-22,146786,37,6,Wien
2020-06-22,27049,0,0,Vorarlberg
2020-06-22,61098,3,1,Steiermark
2020-06-22,565800,59,10,Alle
2020-06-22,73889,7,0,Oberösterreich
2020-06-22,15970,0,0,Burgenland
2020-06-22,36186,3,0,Salzburg
2020-06-22,98881,6,3,Niederösterreich
2020-06-22,23941,1,0,Kärnten
2020-06-23,16090,0,0,Burgenland
2020-06-23,24315,1,0,Kärnten
2020-06-23,99930,7,4,Niederösterreich
2020-06-23,74322,5,0,Oberösterreich
2020-06-23,36560,3,0,Salzburg
2020-06-23,61539,3,1,Steiermark
2020-06-23,82314,2,0,Tirol
2020-06-23,27200,0,0,Vorarlberg
2020-06-23,150203,36,6,Wien
2020-06-23,572473,57,11,Alle
2020-06-24,578584,59,11,Alle
2020-06-24,152490,37,6,Wien
2020-06-24,27356,0,0,Vorarlberg
2020-06-24,62016,4,1,Steiermark
2020-06-24,82716,2,0,Tirol
2020-06-24,75108,7,0,Oberösterreich
2020-06-24,16156,0,0,Burgenland
2020-06-24,36907,3,0,Salzburg
2020-06-24,101104,4,4,Niederösterreich
2020-06-24,24731,2,0,Kärnten
2020-06-25,584243,60,11,Alle
2020-06-25,154337,32,6,Wien
2020-06-25,27569,0,0,Vorarlberg
2020-06-25,62734,3,1,Steiermark
2020-06-25,83278,2,0,Tirol
2020-06-25,75768,10,1,Oberösterreich
2020-06-25,101888,8,3,Niederösterreich
2020-06-25,25219,2,0,Kärnten
2020-06-25,16247,0,0,Burgenland
2020-06-25,37203,3,0,Salzburg
2020-06-26,590442,60,10,Alle
2020-06-26,156426,33,6,Wien
2020-06-26,28055,0,0,Vorarlberg
2020-06-26,83840,3,0,Tirol
2020-06-26,63229,1,1,Steiermark
2020-06-26,37427,4,0,Salzburg
2020-06-26,103444,8,3,Niederösterreich
2020-06-26,15802,0,0,Burgenland
2020-06-26,76606,10,0,Oberösterreich
2020-06-26,25613,1,0,Kärnten
2020-06-27,16441,0,0,Burgenland
2020-06-27,25956,1,0,Kärnten
2020-06-27,105134,13,2,Niederösterreich
2020-06-27,77276,10,0,Oberösterreich
2020-06-27,37607,4,0,Salzburg
2020-06-27,84343,3,1,Tirol
2020-06-27,28316,0,0,Vorarlberg
2020-06-27,158812,30,6,Wien
2020-06-27,597495,61,10,Alle
2020-06-27,63610,0,1,Steiermark
2020-06-28,602520,62,9,Alle
2020-06-28,64084,0,1,Steiermark
2020-06-28,160470,31,6,Wien
2020-06-28,28723,0,0,Vorarlberg
2020-06-28,84612,3,1,Tirol
2020-06-28,37757,4,0,Salzburg
2020-06-28,106548,13,1,Niederösterreich
2020-06-28,26164,1,0,Kärnten
2020-06-28,16490,0,0,Burgenland
2020-06-28,77672,10,0,Oberösterreich
2020-06-29,606375,66,8,Alle
2020-06-29,161646,31,5,Wien
2020-06-29,28819,0,0,Vorarlberg
2020-06-29,84745,3,1,Tirol
2020-06-29,64306,0,1,Steiermark
2020-06-29,37854,4,0,Salzburg
2020-06-29,107831,11,1,Niederösterreich
2020-06-29,26315,1,0,Kärnten
2020-06-29,16660,1,0,Burgenland
2020-06-29,78199,15,0,Oberösterreich
2020-06-30,85049,2,0,Tirol
2020-06-30,163969,30,4,Wien
2020-06-30,29003,0,0,Vorarlberg
2020-06-30,64736,0,1,Steiermark
2020-06-30,612756,58,6,Alle
2020-06-30,78894,13,0,Oberösterreich
2020-06-30,109467,12,1,Niederösterreich
2020-06-30,26714,1,0,Kärnten
2020-06-30,16710,0,0,Burgenland
2020-06-30,38214,0,0,Salzburg
2020-07-01,167042,30,7,Wien
2020-07-01,29248,0,0,Vorarlberg
2020-07-01,85674,2,0,Tirol
2020-07-01,65280,1,1,Steiermark
2020-07-01,620866,65,9,Alle
2020-07-01,79792,13,0,Oberösterreich
2020-07-01,110816,13,1,Niederösterreich
2020-07-01,27628,1,0,Kärnten
2020-07-01,16810,0,0,Burgenland
2020-07-01,38576,5,0,Salzburg
2020-07-02,628700,62,7,Alle
2020-07-02,169759,24,5,Wien
2020-07-02,29490,0,0,Vorarlberg
2020-07-02,86243,2,0,Tirol
2020-07-02,65928,0,1,Steiermark
2020-07-02,38868,5,0,Salzburg
2020-07-02,112305,13,1,Niederösterreich
2020-07-02,28024,1,0,Kärnten
2020-07-02,16858,1,0,Burgenland
2020-07-02,81225,16,0,Oberösterreich
2020-07-03,86836,2,0,Tirol
2020-07-03,171663,26,4,Wien
2020-07-03,29720,0,0,Vorarlberg
2020-07-03,66577,0,1,Steiermark
2020-07-03,635505,65,7,Alle
2020-07-03,82481,19,0,Oberösterreich
2020-07-03,16946,1,0,Burgenland
2020-07-03,39115,5,0,Salzburg
2020-07-03,113704,11,2,Niederösterreich
2020-07-03,28463,1,0,Kärnten
2020-07-04,642679,60,8,Alle
2020-07-04,173950,20,5,Wien
2020-07-04,29720,0,0,Vorarlberg
2020-07-04,67132,1,1,Steiermark
2020-07-04,87428,2,0,Tirol
2020-07-04,83855,19,0,Oberösterreich
2020-07-04,115376,11,2,Niederösterreich
2020-07-04,28859,1,0,Kärnten
2020-07-04,17090,2,0,Burgenland
2020-07-04,39269,4,0,Salzburg
2020-07-05,647804,62,10,Alle
2020-07-05,175253,23,7,Wien
2020-07-05,30624,0,0,Vorarlberg
2020-07-05,87843,2,0,Tirol
2020-07-05,67612,1,1,Steiermark
2020-07-05,39455,2,0,Salzburg
2020-07-05,116784,11,2,Niederösterreich
2020-07-05,29002,2,0,Kärnten
2020-07-05,17376,2,0,Burgenland
2020-07-05,83855,19,0,Oberösterreich
2020-07-06,654105,67,11,Alle
2020-07-06,176467,23,7,Wien
2020-07-06,30776,0,0,Vorarlberg
2020-07-06,88265,2,0,Tirol
2020-07-06,68021,1,1,Steiermark
2020-07-06,39596,2,0,Salzburg
2020-07-06,117939,13,2,Niederösterreich
2020-07-06,29257,2,0,Kärnten
2020-07-06,17432,2,0,Burgenland
2020-07-06,86352,22,1,Oberösterreich
2020-07-07,88866,2,0,Tirol
2020-07-07,178128,42,7,Wien
2020-07-07,31142,0,0,Vorarlberg
2020-07-07,68290,1,1,Steiermark
2020-07-07,660149,81,10,Alle
2020-07-07,87381,19,0,Oberösterreich
2020-07-07,17535,2,0,Burgenland
2020-07-07,39881,2,0,Salzburg
2020-07-07,119295,11,2,Niederösterreich
2020-07-07,29631,2,0,Kärnten
2020-07-08,17797,2,0,Burgenland
2020-07-08,30017,1,0,Kärnten
2020-07-08,120739,11,3,Niederösterreich
2020-07-08,89336,23,0,Oberösterreich
2020-07-08,40087,2,0,Salzburg
2020-07-08,69267,2,1,Steiermark
2020-07-08,89575,2,0,Tirol
2020-07-08,31345,1,0,Vorarlberg
2020-07-08,180057,22,7,Wien
2020-07-08,668220,66,11,Alle
2020-07-09,675727,66,12,Alle
2020-07-09,181638,25,8,Wien
2020-07-09,31456,1,0,Vorarlberg
2020-07-09,70212,2,1,Steiermark
2020-07-09,90236,2,0,Tirol
2020-07-09,91305,23,0,Oberösterreich
2020-07-09,17961,2,0,Burgenland
2020-07-09,40283,2,0,Salzburg
2020-07-09,122194,8,3,Niederösterreich
2020-07-09,30442,1,0,Kärnten
2020-07-10,683484,71,9,Alle
2020-07-10,183457,24,4,Wien
2020-07-10,31983,1,0,Vorarlberg
2020-07-10,70837,2,1,Steiermark
2020-07-10,90882,2,0,Tirol
2020-07-10,93251,25,1,Oberösterreich
2020-07-10,123611,9,3,Niederösterreich
2020-07-10,30759,1,0,Kärnten
2020-07-10,18191,3,0,Burgenland
2020-07-10,40513,4,0,Salzburg
2020-07-11,691709,68,9,Alle
2020-07-11,185980,24,4,Wien
2020-07-11,32195,1,0,Vorarlberg
2020-07-11,91513,2,0,Tirol
2020-07-11,71324,1,1,Steiermark
2020-07-11,41142,4,0,Salzburg
2020-07-11,125019,9,3,Niederösterreich
2020-07-11,18315,2,0,Burgenland
2020-07-11,95154,25,1,Oberösterreich
2020-07-11,31067,0,0,Kärnten
2020-07-12,18445,2,0,Burgenland
2020-07-12,31472,0,0,Kärnten
2020-07-12,126405,11,3,Niederösterreich
2020-07-12,96271,25,1,Oberösterreich
2020-07-12,41376,2,0,Salzburg
2020-07-12,91980,2,0,Tirol
2020-07-12,32195,1,0,Vorarlberg
2020-07-12,187002,28,5,Wien
2020-07-12,696740,73,10,Alle
2020-07-12,71594,2,1,Steiermark
2020-07-13,700616,74,8,Alle
2020-07-13,71731,2,1,Steiermark
2020-07-13,187002,24,4,Wien
2020-07-13,32908,1,0,Vorarlberg
2020-07-13,92289,3,0,Tirol
2020-07-13,41494,3,0,Salzburg
2020-07-13,127866,10,3,Niederösterreich
2020-07-13,31555,1,0,Kärnten
2020-07-13,18514,2,0,Burgenland
2020-07-13,97257,28,0,Oberösterreich
2020-07-14,708128,74,9,Alle
2020-07-14,189935,27,4,Wien
2020-07-14,33051,1,0,Vorarlberg
2020-07-14,92897,2,0,Tirol
2020-07-14,72312,3,1,Steiermark
2020-07-14,41821,3,0,Salzburg
2020-07-14,129302,9,3,Niederösterreich
2020-07-14,32150,1,0,Kärnten
2020-07-14,18589,1,0,Burgenland
2020-07-14,98071,27,1,Oberösterreich
2020-07-15,93834,2,0,Tirol
2020-07-15,192259,38,5,Wien
2020-07-15,33349,1,0,Vorarlberg
2020-07-15,73164,3,1,Steiermark
2020-07-15,716293,86,10,Alle
2020-07-15,99648,28,1,Oberösterreich
2020-07-15,18750,1,0,Burgenland
2020-07-15,42141,4,0,Salzburg
2020-07-15,130566,8,3,Niederösterreich
2020-07-15,32582,1,0,Kärnten
2020-07-16,18906,1,0,Burgenland
2020-07-16,33066,1,0,Kärnten
2020-07-16,131566,8,3,Niederösterreich
2020-07-16,101372,26,1,Oberösterreich
2020-07-16,42348,4,0,Salzburg
2020-07-16,73856,4,1,Steiermark
2020-07-16,94415,2,0,Tirol
2020-07-16,36045,1,0,Vorarlberg
2020-07-16,194771,36,6,Wien
2020-07-16,726345,83,11,Alle
2020-07-17,734413,88,11,Alle
2020-07-17,196770,37,6,Wien
2020-07-17,36484,1,0,Vorarlberg
2020-07-17,95159,2,0,Tirol
2020-07-17,74702,4,1,Steiermark
2020-07-17,103243,29,1,Oberösterreich
2020-07-17,132685,10,3,Niederösterreich
2020-07-17,33511,1,0,Kärnten
2020-07-17,19010,1,0,Burgenland
2020-07-17,42849,3,0,Salzburg
2020-07-18,743090,87,11,Alle
2020-07-18,198998,34,5,Wien
2020-07-18,37165,1,0,Vorarlberg
2020-07-18,95669,1,0,Tirol
2020-07-18,75367,4,1,Steiermark
2020-07-18,43108,4,0,Salzburg
2020-07-18,134884,13,4,Niederösterreich
2020-07-18,34139,1,0,Kärnten
2020-07-18,19092,0,0,Burgenland
2020-07-18,104668,29,1,Oberösterreich
2020-07-19,748669,85,14,Alle
2020-07-19,200218,32,7,Wien
2020-07-19,37568,1,0,Vorarlberg
2020-07-19,75696,3,1,Steiermark
2020-07-19,96014,1,0,Tirol
2020-07-19,105661,29,1,Oberösterreich
2020-07-19,19195,0,0,Burgenland
2020-07-19,43377,4,1,Salzburg
2020-07-19,136543,14,4,Niederösterreich
2020-07-19,34397,1,0,Kärnten
2020-07-20,19235,0,0,Burgenland
2020-07-20,34446,1,0,Kärnten
2020-07-20,137720,13,5,Niederösterreich
2020-07-20,106520,38,2,Oberösterreich
2020-07-20,43520,6,1,Salzburg
2020-07-20,75828,1,1,Steiermark
2020-07-20,141811,1,0,Tirol
2020-07-20,38148,1,0,Vorarlberg
2020-07-20,201208,35,7,Wien
2020-07-20,798436,96,16,Alle
2020-07-21,805600,96,18,Alle
2020-07-21,202951,40,7,Wien
2020-07-21,38436,1,1,Vorarlberg
2020-07-21,76205,3,1,Steiermark
2020-07-21,142426,1,0,Tirol
2020-07-21,107834,31,3,Oberösterreich
2020-07-21,19316,0,0,Burgenland
2020-07-21,43947,6,1,Salzburg
2020-07-21,139417,13,5,Niederösterreich
2020-07-21,35068,1,0,Kärnten
2020-07-22,814681,93,18,Alle
2020-07-22,205949,38,8,Wien
2020-07-22,38482,1,1,Vorarlberg
2020-07-22,76777,5,1,Steiermark
2020-07-22,143530,1,0,Tirol
2020-07-22,109445,28,2,Oberösterreich
2020-07-22,141159,12,5,Niederösterreich
2020-07-22,35544,2,0,Kärnten
2020-07-22,19410,0,0,Burgenland
2020-07-22,44385,6,1,Salzburg
2020-07-23,826031,87,15,Alle
2020-07-23,211261,35,6,Wien
2020-07-23,38635,2,1,Vorarlberg
2020-07-23,144886,1,0,Tirol
2020-07-23,77293,4,1,Steiermark
2020-07-23,44861,5,1,Salzburg
2020-07-23,142839,10,4,Niederösterreich
2020-07-23,19508,1,0,Burgenland
2020-07-23,110797,27,2,Oberösterreich
2020-07-23,35951,2,0,Kärnten
2020-07-24,19624,0,0,Burgenland
2020-07-24,36994,2,0,Kärnten
2020-07-24,144361,10,4,Niederösterreich
2020-07-24,112100,26,2,Oberösterreich
2020-07-24,45191,5,1,Salzburg
2020-07-24,77781,5,2,Steiermark
2020-07-24,146017,2,0,Tirol
2020-07-24,38944,3,1,Vorarlberg
2020-07-24,212829,33,7,Wien
2020-07-24,833841,86,17,Alle
2020-07-25,147075,2,0,Tirol
2020-07-25,840890,85,16,Alle
2020-07-25,214715,35,5,Wien
2020-07-25,39235,3,1,Vorarlberg
2020-07-25,78173,5,3,Steiermark
2020-07-25,45503,5,1,Salzburg
2020-07-25,113240,26,2,Oberösterreich
2020-07-25,145957,9,4,Niederösterreich
2020-07-25,37285,0,0,Kärnten
2020-07-25,19707,0,0,Burgenland
2020-07-26,847898,82,15,Alle
2020-07-26,215432,33,5,Wien
2020-07-26,41217,3,1,Vorarlberg
2020-07-26,148567,2,0,Tirol
2020-07-26,78346,5,2,Steiermark
2020-07-26,45607,6,1,Salzburg
2020-07-26,114297,26,2,Oberösterreich
2020-07-26,147253,7,4,Niederösterreich
2020-07-26,37364,0,0,Kärnten
2020-07-26,19815,0,0,Burgenland
2020-07-27,216690,35,6,Wien
2020-07-27,41326,3,1,Vorarlberg
2020-07-27,149689,2,0,Tirol
2020-07-27,853169,79,16,Alle
2020-07-27,78499,3,1,Steiermark
2020-07-27,115229,22,3,Oberösterreich
2020-07-27,19852,0,0,Burgenland
2020-07-27,45919,6,1,Salzburg
2020-07-27,148592,8,4,Niederösterreich
2020-07-27,37373,0,0,Kärnten
2020-07-28,861206,74,15,Alle
2020-07-28,218810,32,6,Wien
2020-07-28,41482,3,0,Vorarlberg
2020-07-28,78947,5,1,Steiermark
2020-07-28,151045,2,0,Tirol
2020-07-28,117030,18,3,Oberösterreich
2020-07-28,149905,8,4,Niederösterreich
2020-07-28,37748,0,0,Kärnten
2020-07-28,19918,0,0,Burgenland
2020-07-28,46321,6,1,Salzburg
2020-07-29,870602,74,20,Alle
2020-07-29,221153,32,9,Wien
2020-07-29,41787,3,0,Vorarlberg
2020-07-29,152814,1,1,Tirol
2020-07-29,79847,6,0,Steiermark
2020-07-29,46753,6,1,Salzburg
2020-07-29,151529,9,4,Niederösterreich
2020-07-29,38234,0,0,Kärnten
2020-07-29,19997,0,1,Burgenland
2020-07-29,118488,17,4,Oberösterreich
2020-07-30,880036,87,18,Alle
2020-07-30,223634,38,9,Wien
2020-07-30,42285,3,0,Vorarlberg
2020-07-30,154224,2,1,Tirol
2020-07-30,80488,7,0,Steiermark
2020-07-30,120416,20,3,Oberösterreich
2020-07-30,153254,8,4,Niederösterreich
2020-07-30,38523,0,0,Kärnten
2020-07-30,20114,3,0,Burgenland
2020-07-30,47098,6,1,Salzburg
2020-07-31,155954,4,0,Tirol
2020-07-31,890461,84,16,Alle
2020-07-31,225510,39,7,Wien
2020-07-31,43078,3,0,Vorarlberg
2020-07-31,81079,7,0,Steiermark
2020-07-31,154937,6,4,Niederösterreich
2020-07-31,121855,19,3,Oberösterreich
2020-07-31,47528,5,1,Salzburg
2020-07-31,40213,0,0,Kärnten
2020-07-31,20307,1,1,Burgenland
2020-08-01,897819,70,19,Alle
2020-08-01,227297,28,9,Wien
2020-08-01,43834,2,0,Vorarlberg
2020-08-01,156954,4,0,Tirol
2020-08-01,81606,4,3,Steiermark
2020-08-01,47823,5,1,Salzburg
2020-08-01,123029,19,3,Oberösterreich
2020-08-01,156404,7,3,Niederösterreich
2020-08-01,40467,0,0,Kärnten
2020-08-01,20405,1,0,Burgenland
2020-08-02,905314,73,20,Alle
2020-08-02,228422,31,11,Wien
2020-08-02,44822,2,0,Vorarlberg
2020-08-02,159552,4,0,Tirol
2020-08-02,81978,4,3,Steiermark
2020-08-02,123630,19,3,Oberösterreich
2020-08-02,157710,6,3,Niederösterreich
2020-08-02,40642,0,0,Kärnten
2020-08-02,20556,0,0,Burgenland
2020-08-02,48002,7,0,Salzburg
2020-08-03,48135,8,0,Salzburg
2020-08-03,20594,0,0,Burgenland
2020-08-03,40737,0,0,Kärnten
2020-08-03,158772,9,3,Niederösterreich
2020-08-03,124140,25,1,Oberösterreich
2020-08-03,82113,7,5,Steiermark
2020-08-03,161127,4,0,Tirol
2020-08-03,45070,2,0,Vorarlberg
2020-08-03,229749,37,12,Wien
2020-08-03,910437,92,21,Alle
2020-08-04,45312,1,0,Vorarlberg
2020-08-04,162039,4,0,Tirol
2020-08-04,916778,84,23,Alle
2020-08-04,231496,33,10,Wien
2020-08-04,82485,6,5,Steiermark
2020-08-04,48135,8,0,Salzburg
2020-08-04,125264,21,5,Oberösterreich
2020-08-04,160298,11,3,Niederösterreich
2020-08-04,41012,0,0,Kärnten
2020-08-04,20737,0,0,Burgenland
2020-08-05,923902,90,25,Alle
2020-08-05,232971,37,11,Wien
2020-08-05,45583,1,0,Vorarlberg
2020-08-05,163087,4,0,Tirol
2020-08-05,83066,7,5,Steiermark
2020-08-05,126151,20,6,Oberösterreich
2020-08-05,161899,11,3,Niederösterreich
2020-08-05,41384,0,0,Kärnten
2020-08-05,20832,2,0,Burgenland
2020-08-05,48929,8,0,Salzburg
2020-08-06,163930,5,0,Tirol
2020-08-06,937275,92,25,Alle
2020-08-06,240200,34,11,Wien
2020-08-06,46027,1,0,Vorarlberg
2020-08-06,83891,6,5,Steiermark
2020-08-06,49363,8,0,Salzburg
2020-08-06,127386,23,6,Oberösterreich
2020-08-06,163516,14,3,Niederösterreich
2020-08-06,41686,0,0,Kärnten
2020-08-06,21276,1,0,Burgenland
2020-08-07,947305,93,25,Alle
2020-08-07,242118,35,12,Wien
2020-08-07,46759,1,0,Vorarlberg
2020-08-07,164779,3,0,Tirol
2020-08-07,84540,6,5,Steiermark
2020-08-07,49691,7,0,Salzburg
2020-08-07,128774,22,5,Oberösterreich
2020-08-07,165202,17,3,Niederösterreich
2020-08-07,43737,1,0,Kärnten
2020-08-07,21705,1,0,Burgenland
2020-08-08,955239,96,24,Alle
2020-08-08,244088,37,10,Wien
2020-08-08,47307,1,0,Vorarlberg
2020-08-08,166324,3,0,Tirol
2020-08-08,85127,7,6,Steiermark
2020-08-08,49928,8,0,Salzburg
2020-08-08,129690,22,5,Oberösterreich
2020-08-08,166733,15,3,Niederösterreich
2020-08-08,44062,2,0,Kärnten
2020-08-08,21980,1,0,Burgenland
2020-08-09,961868,99,22,Alle
2020-08-09,245456,36,9,Wien
2020-08-09,47789,1,0,Vorarlberg
2020-08-09,168206,3,0,Tirol
2020-08-09,85363,10,4,Steiermark
2020-08-09,50114,8,0,Salzburg
2020-08-09,130335,22,5,Oberösterreich
2020-08-09,168323,14,4,Niederösterreich
2020-08-09,44194,3,0,Kärnten
2020-08-09,22088,2,0,Burgenland
2020-08-10,965758,92,24,Alle
2020-08-10,246400,35,9,Wien
2020-08-10,48463,1,0,Vorarlberg
2020-08-10,168332,6,0,Tirol
2020-08-10,85490,8,5,Steiermark
2020-08-10,50305,4,0,Salzburg
2020-08-10,130632,18,5,Oberösterreich
2020-08-10,169632,16,5,Niederösterreich
2020-08-10,44344,2,0,Kärnten
2020-08-10,22160,2,0,Burgenland
2020-08-11,974508,94,25,Alle
2020-08-11,248402,40,10,Wien
2020-08-11,48798,1,0,Vorarlberg
2020-08-11,169080,6,0,Tirol
2020-08-11,86433,9,5,Steiermark
2020-08-11,131654,11,7,Oberösterreich
2020-08-11,171181,18,3,Niederösterreich
2020-08-11,44636,3,0,Kärnten
2020-08-11,23699,2,0,Burgenland
2020-08-11,50625,4,0,Salzburg
2020-08-12,170044,6,0,Tirol
2020-08-12,983018,93,25,Alle
2020-08-12,251162,41,10,Wien
2020-08-12,48899,2,0,Vorarlberg
2020-08-12,50992,3,0,Salzburg
2020-08-12,172842,18,4,Niederösterreich
2020-08-12,132687,12,6,Oberösterreich
2020-08-12,45082,3,0,Kärnten
2020-08-12,23905,1,0,Burgenland
2020-08-12,87405,7,5,Steiermark
2020-08-13,991508,92,22,Alle
2020-08-13,253370,42,9,Wien
2020-08-13,49350,2,0,Vorarlberg
2020-08-13,171150,7,0,Tirol
2020-08-13,88320,5,5,Steiermark
2020-08-13,133497,11,5,Oberösterreich
2020-08-13,174574,18,3,Niederösterreich
2020-08-13,45427,3,0,Kärnten
2020-08-13,24446,1,0,Burgenland
2020-08-13,51374,3,0,Salzburg
2020-08-14,1003432,91,19,Alle
2020-08-14,253370,39,8,Wien
2020-08-14,50185,2,0,Vorarlberg
2020-08-14,172650,6,0,Tirol
2020-08-14,89066,7,3,Steiermark
2020-08-14,138419,13,5,Oberösterreich
2020-08-14,176256,16,3,Niederösterreich
2020-08-14,47321,3,0,Kärnten
2020-08-14,24590,1,0,Burgenland
2020-08-14,51575,4,0,Salzburg
2020-08-15,1009354,83,21,Alle
2020-08-15,25055,0,0,Burgenland
2020-08-15,47714,2,0,Kärnten
2020-08-15,177789,14,4,Niederösterreich
2020-08-15,139400,13,5,Oberösterreich
2020-08-15,51715,4,0,Salzburg
2020-08-15,89433,6,3,Steiermark
2020-08-15,173799,6,0,Tirol
2020-08-15,51079,1,0,Vorarlberg
2020-08-15,253370,37,9,Wien
2020-08-16,51891,1,0,Vorarlberg
2020-08-16,175195,6,0,Tirol
2020-08-16,1018490,65,19,Alle
2020-08-16,257960,22,7,Wien
2020-08-16,89645,5,3,Steiermark
2020-08-16,25202,0,0,Burgenland
2020-08-16,139752,13,5,Oberösterreich
2020-08-16,179145,14,4,Niederösterreich
2020-08-16,47873,2,0,Kärnten
2020-08-16,51827,2,0,Salzburg
2020-08-17,1024067,91,23,Alle
2020-08-17,259226,33,10,Wien
2020-08-17,52273,1,0,Vorarlberg
2020-08-17,176111,8,1,Tirol
2020-08-17,90327,5,3,Steiermark
2020-08-17,140263,16,5,Oberösterreich
2020-08-17,180482,22,4,Niederösterreich
