date,tests,cases,normal_beds,ICU_beds,deceased,recovered,day,dow
2020-02-24,18.0,,,,,,-10,Monday
2020-02-25,21.0,,,,,,-9,Tuesday
2020-02-26,41.0,,,,,,-8,Wednesday
2020-02-27,43.0,,,,,,-7,Thursday
2020-02-28,35.0,,,,,,-6,Friday
2020-02-29,16.0,,,,,,-5,Saturday
2020-03-01,17.0,,,,,,-4,Sunday
2020-03-02,54.0,,,,,,-3,Monday
2020-03-03,48.0,,,,,,-2,Tuesday
2020-03-04,51.0,,,,,,-1,Wednesday
2020-03-05,103.0,,,,,,0,Thursday
2020-03-06,278.0,,,,,,1,Friday
2020-03-07,177.0,,,,,,2,Saturday
2020-03-08,238.0,,,,,,3,Sunday
2020-03-09,367.0,,,,,,4,Monday
2020-03-10,542.0,,17.0,1.0,,,5,Tuesday
2020-03-11,749.0,,17.0,1.0,0.0,,6,Wednesday
2020-03-12,1045.0,,15.0,2.0,0.0,,7,Thursday
2020-03-13,1197.0,,18.0,4.0,0.0,,8,Friday
2020-03-14,916.0,,25.0,4.0,1.0,,9,Saturday
2020-03-15,590.0,,30.0,3.0,0.0,,10,Sunday
2020-03-16,871.0,,27.0,5.0,0.0,,11,Monday
2020-03-17,1121.0,286.0,33.0,5.0,0.0,,12,Tuesday
2020-03-18,1026.0,317.0,38.0,5.0,0.0,,13,Wednesday
2020-03-19,1184.0,335.0,40.0,7.0,0.0,,14,Thursday
2020-03-20,1242.0,359.0,38.0,8.0,0.0,4.0,15,Friday
2020-03-21,872.0,391.0,43.0,8.0,0.0,5.0,16,Saturday
2020-03-22,731.0,422.0,41.0,11.0,0.0,4.0,17,Sunday
2020-03-23,1257.0,447.0,46.0,10.0,1.0,10.0,18,Monday
2020-03-24,1243.0,478.0,58.0,11.0,1.0,16.0,19,Tuesday
2020-03-25,1181.0,490.0,64.0,14.0,1.0,34.0,20,Wednesday
2020-03-26,1075.0,501.0,65.0,16.0,1.0,48.0,21,Thursday
2020-03-27,1384.0,507.0,80.0,22.0,2.0,44.0,22,Friday
2020-03-28,999.0,518.0,79.0,23.0,2.0,34.0,23,Saturday
2020-03-29,597.0,507.0,84.0,24.0,2.0,34.0,24,Sunday
2020-03-30,1125.0,529.0,88.0,29.0,1.0,25.0,25,Monday
2020-03-31,1288.0,556.0,82.0,28.0,1.0,8.0,26,Tuesday
2020-04-01,1095.0,579.0,78.0,31.0,2.0,31.0,27,Wednesday
2020-04-02,1064.0,596.0,78.0,30.0,1.0,19.0,28,Thursday
2020-04-03,1188.0,609.0,84.0,30.0,4.0,26.0,29,Friday
2020-04-04,655.0,592.0,77.0,32.0,2.0,31.0,30,Saturday
2020-04-05,489.0,579.0,79.0,31.0,6.0,34.0,31,Sunday
2020-04-06,1202.0,578.0,82.0,30.0,2.0,30.0,32,Monday
2020-04-07,1214.0,566.0,77.0,32.0,6.0,44.0,33,Tuesday
2020-04-08,1144.0,552.0,76.0,35.0,4.0,44.0,34,Wednesday
2020-04-09,1234.0,526.0,74.0,34.0,3.0,59.0,35,Thursday
2020-04-10,1232.0,503.0,70.0,36.0,2.0,47.0,36,Friday
2020-04-11,572.0,473.0,59.0,35.0,5.0,44.0,37,Saturday
2020-04-12,554.0,456.0,60.0,35.0,3.0,22.0,38,Sunday
2020-04-13,541.0,416.0,62.0,33.0,2.0,47.0,39,Monday
2020-04-14,1168.0,406.0,68.0,35.0,1.0,32.0,40,Tuesday
2020-04-15,1023.0,372.0,62.0,34.0,5.0,55.0,41,Wednesday
2020-04-16,1193.0,368.0,69.0,30.0,0.0,35.0,42,Thursday
2020-04-17,1250.0,340.0,67.0,28.0,5.0,37.0,43,Friday
2020-04-18,685.0,333.0,66.0,27.0,4.0,16.0,44,Saturday
2020-04-19,537.0,315.0,63.0,26.0,4.0,20.0,45,Sunday
2020-04-20,1174.0,289.0,61.0,26.0,3.0,35.0,46,Monday
2020-04-21,1478.0,262.0,61.0,25.0,0.0,34.0,47,Tuesday
2020-04-22,1457.0,242.0,58.0,24.0,2.0,33.0,48,Wednesday
2020-04-23,1510.0,214.0,57.0,23.0,0.0,34.0,49,Thursday
2020-04-24,1380.0,200.0,55.0,23.0,1.0,27.0,50,Friday
2020-04-25,1012.0,191.0,54.0,23.0,2.0,17.0,51,Saturday
2020-04-26,831.0,190.0,57.0,23.0,0.0,5.0,52,Sunday
2020-04-27,826.0,188.0,58.0,22.0,2.0,6.0,53,Monday
2020-04-28,1360.0,170.0,54.0,23.0,2.0,24.0,54,Tuesday
2020-04-29,1370.0,160.0,48.0,22.0,3.0,19.0,55,Wednesday
2020-04-30,1382.0,129.0,41.0,22.0,2.0,34.0,56,Thursday
2020-05-01,771.0,121.0,37.0,21.0,2.0,12.0,57,Friday
2020-05-02,535.0,108.0,39.0,21.0,1.0,11.0,58,Saturday
2020-05-03,616.0,103.0,38.0,20.0,2.0,4.0,59,Sunday
2020-05-04,1338.0,100.0,38.0,20.0,1.0,8.0,60,Monday
2020-05-05,1449.0,94.0,39.0,16.0,1.0,8.0,61,Tuesday
2020-05-06,1055.0,82.0,39.0,14.0,1.0,13.0,62,Wednesday
2020-05-07,1049.0,76.0,39.0,13.0,0.0,6.0,63,Thursday
2020-05-08,1176.0,65.0,35.0,11.0,1.0,14.0,64,Friday
2020-05-09,625.0,60.0,33.0,10.0,1.0,7.0,65,Saturday
2020-05-10,537.0,57.0,31.0,10.0,1.0,6.0,66,Sunday
2020-05-11,1182.0,52.0,32.0,10.0,0.0,6.0,67,Monday
2020-05-12,1147.0,45.0,31.0,9.0,0.0,8.0,68,Tuesday
2020-05-13,984.0,35.0,29.0,9.0,1.0,11.0,69,Wednesday
2020-05-14,1023.0,31.0,25.0,7.0,0.0,5.0,70,Thursday
2020-05-15,1151.0,26.0,22.0,7.0,0.0,5.0,71,Friday
2020-05-16,511.0,27.0,21.0,6.0,0.0,-1.0,72,Saturday
2020-05-17,479.0,27.0,21.0,5.0,1.0,0.0,73,Sunday
2020-05-18,1128.0,22.0,20.0,5.0,0.0,6.0,74,Monday
2020-05-19,981.0,20.0,19.0,5.0,0.0,2.0,75,Tuesday
2020-05-20,909.0,19.0,19.0,4.0,1.0,0.0,76,Wednesday
2020-05-21,882.0,18.0,18.0,3.0,1.0,1.0,77,Thursday
2020-05-22,677.0,14.0,17.0,4.0,0.0,3.0,78,Friday
2020-05-23,341.0,11.0,15.0,3.0,1.0,3.0,79,Saturday
2020-05-24,256.0,9.0,15.0,3.0,0.0,3.0,80,Sunday
2020-05-25,754.0,8.0,13.0,3.0,0.0,0.0,81,Monday
2020-05-26,809.0,8.0,7.0,2.0,1.0,2.0,82,Tuesday
2020-05-27,631.0,9.0,6.0,2.0,0.0,1.0,83,Wednesday
2020-05-28,706.0,8.0,5.0,2.0,0.0,1.0,84,Thursday
2020-05-29,613.0,8.0,5.0,2.0,0.0,0.0,85,Friday
2020-05-30,264.0,7.0,5.0,2.0,0.0,1.0,86,Saturday
2020-05-31,246.0,7.0,4.0,2.0,0.0,-1.0,87,Sunday
2020-06-01,659.0,8.0,4.0,1.0,1.0,1.0,88,Monday
2020-06-02,807.0,9.0,4.0,1.0,0.0,1.0,89,Tuesday
2020-06-03,828.0,9.0,5.0,0.0,0.0,0.0,90,Wednesday
2020-06-04,828.0,11.0,5.0,0.0,0.0,0.0,91,Thursday
2020-06-05,715.0,16.0,6.0,0.0,0.0,0.0,92,Friday
2020-06-06,229.0,17.0,6.0,0.0,0.0,0.0,93,Saturday
2020-06-07,211.0,16.0,5.0,0.0,0.0,1.0,94,Sunday
2020-06-08,814.0,17.0,5.0,0.0,0.0,0.0,95,Monday
2020-06-09,738.0,17.0,6.0,0.0,0.0,2.0,96,Tuesday
2020-06-10,758.0,15.0,6.0,0.0,0.0,2.0,97,Wednesday
2020-06-11,702.0,17.0,6.0,0.0,0.0,0.0,98,Thursday
2020-06-12,767.0,19.0,6.0,0.0,0.0,0.0,99,Friday
2020-06-13,291.0,22.0,6.0,0.0,0.0,0.0,100,Saturday
2020-06-14,212.0,23.0,6.0,0.0,0.0,0.0,101,Sunday
2020-06-15,567.0,24.0,6.0,1.0,0.0,2.0,102,Monday
2020-06-16,986.0,26.0,6.0,1.0,0.0,2.0,103,Tuesday
2020-06-17,952.0,34.0,6.0,1.0,0.0,0.0,104,Wednesday
2020-06-18,902.0,34.0,5.0,1.0,0.0,2.0,105,Thursday
2020-06-19,1147.0,35.0,7.0,1.0,0.0,5.0,106,Friday
2020-06-20,758.0,35.0,5.0,1.0,0.0,1.0,107,Saturday
2020-06-21,271.0,36.0,5.0,1.0,0.0,0.0,108,Sunday
2020-06-22,984.0,48.0,5.0,1.0,0.0,-1.0,109,Monday
2020-06-23,1222.0,52.0,4.0,1.0,2.0,2.0,110,Tuesday
2020-06-24,1212.0,58.0,5.0,2.0,0.0,0.0,111,Wednesday
2020-06-25,843.0,67.0,5.0,2.0,0.0,2.0,112,Thursday
2020-06-26,878.0,79.0,7.0,1.0,0.0,2.0,113,Friday
2020-06-27,625.0,85.0,8.0,0.0,0.0,3.0,114,Saturday
2020-06-28,300.0,88.0,7.0,0.0,0.0,1.0,115,Sunday
2020-06-29,1085.0,100.0,8.0,0.0,0.0,3.0,116,Monday
2020-06-30,1399.0,109.0,8.0,0.0,0.0,4.0,117,Tuesday
2020-07-01,1198.0,122.0,8.0,0.0,0.0,8.0,118,Wednesday
2020-07-02,1274.0,136.0,9.0,0.0,0.0,2.0,119,Thursday
2020-07-03,1456.0,160.0,10.0,0.0,0.0,6.0,120,Friday
2020-07-04,716.0,180.0,6.0,0.0,0.0,1.0,121,Saturday
2020-07-05,530.0,195.0,6.0,0.0,0.0,1.0,122,Sunday
2020-07-06,1325.0,205.0,11.0,0.0,0.0,13.0,123,Monday
2020-07-07,1607.0,223.0,12.0,0.0,0.0,6.0,124,Tuesday
2020-07-08,1271.0,230.0,14.0,0.0,0.0,6.0,125,Wednesday
2020-07-09,1390.0,236.0,15.0,0.0,0.0,11.0,126,Thursday
2020-07-10,1159.0,256.0,16.0,0.0,0.0,14.0,127,Friday
2020-07-11,560.0,262.0,16.0,0.0,0.0,9.0,128,Saturday
2020-07-12,440.0,266.0,15.0,1.0,0.0,4.0,129,Sunday
2020-07-13,1218.0,261.0,16.0,1.0,0.0,15.0,130,Monday
2020-07-14,1112.0,267.0,16.0,1.0,0.0,13.0,131,Tuesday
2020-07-15,1032.0,265.0,14.0,2.0,0.0,21.0,132,Wednesday
2020-07-16,1012.0,268.0,17.0,1.0,0.0,16.0,133,Thursday
2020-07-17,1027.0,262.0,18.0,1.0,0.0,30.0,134,Friday
2020-07-18,480.0,247.0,17.0,2.0,0.0,20.0,135,Saturday
2020-07-19,371.0,238.0,16.0,3.0,1.0,15.0,136,Sunday
2020-07-20,914.0,239.0,16.0,3.0,1.0,22.0,137,Monday
2020-07-21,1150.0,244.0,19.0,3.0,1.0,23.0,138,Tuesday
2020-07-22,935.0,258.0,20.0,2.0,1.0,13.0,139,Wednesday
2020-07-23,848.0,260.0,22.0,2.0,0.0,17.0,140,Thursday
2020-07-24,918.0,240.0,21.0,2.0,0.0,33.0,141,Friday
2020-07-25,565.0,241.0,15.0,4.0,1.0,15.0,142,Saturday
2020-07-26,335.0,238.0,17.0,4.0,0.0,8.0,143,Sunday
2020-07-27,874.0,242.0,17.0,3.0,0.0,9.0,144,Monday
2020-07-28,919.0,237.0,14.0,3.0,1.0,19.0,145,Tuesday
2020-07-29,879.0,242.0,17.0,4.0,0.0,18.0,146,Wednesday
2020-07-30,917.0,240.0,17.0,5.0,1.0,18.0,147,Thursday
2020-07-31,892.0,231.0,19.0,5.0,1.0,24.0,148,Friday
2020-08-01,374.0,234.0,17.0,5.0,0.0,5.0,149,Saturday
2020-08-02,272.0,228.0,20.0,2.0,1.0,5.0,150,Sunday
2020-08-03,890.0,213.0,19.0,1.0,2.0,23.0,151,Monday
2020-08-04,974.0,202.0,20.0,2.0,1.0,28.0,152,Tuesday
2020-08-05,771.0,190.0,19.0,3.0,1.0,26.0,153,Wednesday
2020-08-06,753.0,181.0,21.0,3.0,1.0,19.0,154,Thursday
2020-08-07,829.0,181.0,20.0,4.0,0.0,13.0,155,Friday
2020-08-08,304.0,167.0,19.0,3.0,1.0,15.0,156,Saturday
2020-08-09,322.0,168.0,21.0,3.0,1.0,4.0,157,Sunday
2020-08-10,1058.0,171.0,21.0,3.0,1.0,13.0,158,Monday
2020-08-11,1118.0,188.0,21.0,2.0,1.0,14.0,159,Tuesday
2020-08-12,856.0,193.0,21.0,2.0,0.0,24.0,160,Wednesday
2020-08-13,937.0,213.0,16.0,3.0,0.0,17.0,161,Thursday
2020-08-14,1034.0,230.0,15.0,3.0,0.0,15.0,162,Friday
2020-08-15,382.0,236.0,13.0,3.0,0.0,9.0,163,Saturday
2020-08-16,393.0,248.0,14.0,3.0,0.0,1.0,164,Sunday
2020-08-17,1143.0,266.0,16.0,3.0,0.0,9.0,165,Monday
2020-08-18,1092.0,285.0,13.0,3.0,0.0,18.0,166,Tuesday
